t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,vsg_path,satellite_path,processed_satellite_path,actual_dst_vsg,successfully_arrived,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
0,0,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,1,0,0,1
0,1,False,False,11,11,['2'],"[(11, 'src'), (12, 'vnf2'), (11, 'dst')]","[[26, 'src'], [26, 'vnf2'], [26, 'dst']]","[[26, 'src']]",-1,False,0,0,1,0,0,1
0,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None]]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None]]",-1,False,0,63.13942530019463,0,0,5,68.13942530019463
1,0,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,2,0,0,2
1,1,False,False,11,11,['2'],"[(11, 'src'), (12, 'vnf2'), (11, 'dst')]","[[26, 'src'], [26, 'vnf2'], [26, 'dst']]","[[26, 'src']]",-1,False,0,0,2,0,0,2
1,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1']]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None]]",-1,False,0,76.77224363789361,0,0,6,82.77224363789361
1,3,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,1,0,0,1
1,4,False,False,0,0,['2'],"[(0, 'src'), (4, None), (3, 'vnf2'), (4, None), (0, 'dst')]","[[8, 'src'], [8, 'vnf2'], [8, 'dst']]","[[8, 'src']]",-1,False,0,0,1,0,0,1
1,5,False,False,10,10,['2'],"[(10, 'src'), (11, None), (12, 'vnf2'), (11, None), (10, 'dst')]","[[4, 'src'], [4, 'vnf2'], [4, 'dst']]","[[4, 'src']]",-1,False,0,0,1,0,0,1
2,0,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,3,0,0,3
2,1,False,False,11,11,['2'],"[(11, 'src'), (12, 'vnf2'), (11, 'dst')]","[[26, 'src'], [26, 'vnf2'], [26, 'dst']]","[[26, 'src']]",-1,False,0,0,3,0,0,3
2,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1']]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None]]",-1,False,0,79.77483354775862,0,0,7,86.77483354775862
2,3,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,2,0,0,2
2,4,False,False,0,0,['2'],"[(0, 'src'), (4, None), (3, 'vnf2'), (4, None), (0, 'dst')]","[[8, 'src'], [8, 'vnf2'], [8, 'dst']]","[[8, 'src']]",-1,False,0,0,2,0,0,2
2,5,False,False,10,10,['2'],"[(10, 'src'), (11, None), (12, 'vnf2'), (11, None), (10, 'dst')]","[[4, 'src'], [4, 'vnf2'], [4, 'dst']]","[[4, 'src']]",-1,False,0,0,2,0,0,2
2,6,False,False,14,14,['2'],"[(14, 'src'), (13, 'vnf2'), (14, 'dst')]","[[56, 'src'], [56, 'vnf2'], [56, 'dst']]","[[56, 'src']]",-1,False,0,0,1,0,0,1
2,7,False,False,6,8,"['1', '2', '3', '4']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, ('dst', 'vnf4'))]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None]]",-1,False,0,33.286541681256686,0,0,2,35.286541681256686
2,8,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,1,0,0,1
3,0,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,4,0,0,4
3,1,True,False,11,11,['2'],"[(11, 'src'), (12, 'vnf2'), (11, 'dst')]","[[26, 'src'], [26, 'vnf2'], [26, 'dst']]","[[26, 'src'], [26, 'vnf2'], [26, 'dst']]",11,True,0,0,4,0,0,4
3,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1']]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1']]",-1,False,0,83.15878220254889,0,0,9,92.15878220254889
3,3,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,3,0,0,3
3,4,False,False,0,0,['2'],"[(0, 'src'), (4, None), (3, 'vnf2'), (4, None), (0, 'dst')]","[[8, 'src'], [8, 'vnf2'], [8, 'dst']]","[[8, 'src']]",-1,False,0,0,3,0,0,3
3,5,False,False,10,10,['2'],"[(10, 'src'), (11, None), (12, 'vnf2'), (11, None), (10, 'dst')]","[[4, 'src'], [4, 'vnf2'], [4, 'dst']]","[[4, 'src']]",-1,False,0,0,3,0,0,3
3,6,False,False,14,14,['2'],"[(14, 'src'), (13, 'vnf2'), (14, 'dst')]","[[56, 'src'], [56, 'vnf2'], [56, 'dst']]","[[56, 'src']]",-1,False,0,0,2,0,0,2
3,7,False,False,6,8,"['1', '2', '3', '4']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, ('dst', 'vnf4'))]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None], [30, None]]",-1,False,0,36.2891315911217,0,0,3,39.2891315911217
3,8,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,2,0,0,2
3,9,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,1,0,0,1
3,10,False,False,11,3,"['1', '2', '3', '4']","[(11, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (3, 'dst')]","[[25, 'src'], [24, None], [23, None], [22, None], [32, None]]","[[25, 'src'], [24, None]]",-1,False,0,3.00258990986503,0,0,1,4.00258990986503
3,11,False,False,6,2,"['1', '2', '5', '3', '6']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (2, 'vnf5'), (3, 'vnf3'), (2, None), (7, 'vnf6'), (2, 'dst')]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None]]",-1,False,0,33.286541681256686,0,0,2,35.286541681256686
4,0,True,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]",5,True,0,0,5,0,0,5
4,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1'], [63, None], [52, 'vnf2']]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1'], [63, None]]",-1,False,0,86.1613721124139,0,0,10,96.1613721124139
4,3,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,4,0,0,4
4,4,True,False,0,0,['2'],"[(0, 'src'), (4, None), (3, 'vnf2'), (4, None), (0, 'dst')]","[[8, 'src'], [8, 'vnf2'], [8, 'dst']]","[[8, 'src'], [8, 'vnf2'], [8, 'dst']]",0,True,0,0,4,0,0,4
4,5,True,False,10,10,['2'],"[(10, 'src'), (11, None), (12, 'vnf2'), (11, None), (10, 'dst')]","[[4, 'src'], [4, 'vnf2'], [4, 'dst']]","[[4, 'src'], [4, 'vnf2'], [4, 'dst']]",10,True,0,0,4,0,0,4
4,6,False,False,14,14,['2'],"[(14, 'src'), (13, 'vnf2'), (14, 'dst')]","[[56, 'src'], [56, 'vnf2'], [56, 'dst']]","[[56, 'src']]",-1,False,0,0,3,0,0,3
4,7,False,False,6,8,"['1', '2', '3', '4']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, ('dst', 'vnf4'))]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None]]",-1,False,0,45.01012788035905,0,0,4,49.01012788035905
4,8,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,3,0,0,3
4,9,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,2,0,0,2
4,10,False,False,11,3,"['1', '2', '3', '4']","[(11, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (3, 'dst')]","[[25, 'src'], [24, None], [23, None], [22, None], [32, None]]","[[25, 'src'], [24, None], [23, None]]",-1,False,0,16.635408247563994,0,0,2,18.635408247563994
4,11,False,False,6,2,"['1', '2', '5', '3', '6']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (2, 'vnf5'), (3, 'vnf3'), (2, None), (7, 'vnf6'), (2, 'dst')]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None], [30, None]]",-1,False,0,36.2891315911217,0,0,3,39.2891315911217
4,12,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,0,1,0,1
4,13,False,False,0,13,"['1', '2', '3', '4']","[(0, 'src'), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (13, 'dst')]","[[9, 'src'], [8, None], [63, None], [64, 'vnf1']]","[[9, 'src'], [8, None]]",-1,False,0,3.002589909865015,0,0,1,4.002589909865015
4,14,False,False,8,8,['2'],"[(8, ('dst', 'vnf2'))]","[[44, 'src'], [44, 'vnf2'], [44, 'dst']]","[[44, 'src']]",-1,False,0,0,1,0,0,1
5,2,False,False,8,14,"['1', '2', '3', '4']","[(8, 'src'), (3, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (9, None), (14, 'dst')]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1'], [63, None], [52, 'vnf2']]","[[49, 'src'], [50, None], [51, None], [52, None], [53, None], [54, None], [53, None], [52, None], [63, None], [64, 'vnf1'], [63, None], [52, 'vnf2']]",-1,False,0,86.54273085733917,0,0,11,97.54273085733917
5,3,True,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]",1,True,0,0,5,0,0,5
5,6,True,False,14,14,['2'],"[(14, 'src'), (13, 'vnf2'), (14, 'dst')]","[[56, 'src'], [56, 'vnf2'], [56, 'dst']]","[[56, 'src'], [56, 'vnf2'], [56, 'dst']]",14,True,0,0,4,0,0,4
5,7,False,False,6,8,"['1', '2', '3', '4']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, ('dst', 'vnf4'))]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None]]",-1,False,0,62.36337772073284,0,0,5,67.36337772073284
5,8,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,4,0,0,4
5,9,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,3,0,0,3
5,10,False,False,11,3,"['1', '2', '3', '4']","[(11, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (3, 'dst')]","[[25, 'src'], [24, None], [23, None], [22, None], [32, None]]","[[25, 'src'], [24, None], [23, None], [22, None]]",-1,False,0,36.2891315911217,0,0,3,39.2891315911217
5,11,False,False,6,2,"['1', '2', '5', '3', '6']","[(6, 'src'), (1, None), (0, None), (4, 'vnf1'), (3, 'vnf2'), (2, 'vnf5'), (3, 'vnf3'), (2, None), (7, 'vnf6'), (2, 'dst')]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None], [28, None], [29, None], [30, None], [31, None], [32, None]]","[[22, 'src'], [32, None], [31, None], [30, None], [29, None]]",-1,False,0,45.01012788035905,0,0,4,49.01012788035905
5,12,False,False,5,5,['2'],"[(5, 'src'), (9, None), (8, 'vnf2'), (9, None), (5, 'dst')]","[[6, 'src'], [6, 'vnf2'], [6, 'dst']]","[[6, 'src']]",-1,False,0,0,1,1,0,2
5,13,False,False,0,13,"['1', '2', '3', '4']","[(0, 'src'), (4, 'vnf1'), (3, 'vnf2'), (3, 'vnf3'), (8, 'vnf4'), (13, 'dst')]","[[9, 'src'], [8, None], [63, None], [64, 'vnf1']]","[[9, 'src'], [8, None], [63, None], [64, 'vnf1']]",-1,False,0,6.3865385646553,0,0,3,9.3865385646553
5,14,False,False,8,8,['2'],"[(8, ('dst', 'vnf2'))]","[[44, 'src'], [44, 'vnf2'], [44, 'dst']]","[[44, 'src']]",-1,False,0,0,2,0,0,2
5,15,False,False,12,12,['2'],"[(12, ('dst', 'vnf2'))]","[[34, 'src'], [34, 'vnf2'], [34, 'dst']]","[[34, 'src']]",-1,False,0,0,1,0,0,1
5,16,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,0,1,0,1
5,17,False,False,1,1,['2'],"[(1, 'src'), (2, None), (3, 'vnf2'), (2, None), (1, 'dst')]","[[29, 'src'], [29, 'vnf2'], [29, 'dst']]","[[29, 'src']]",-1,False,0,0,0,1,0,1
