t,gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
0,0,False,False,0,12,"['2', '2', '2', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None]]",0,45.01012788035905,0,0,4,49.01012788035905
0,1,False,False,4,6,"['2', '2', '1', '1', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, ('dst', 'vnf1')]]","[[62, 'src'], [51, None]]",0,8.928813515387438,0,0,1,9.928813515387438
0,2,False,False,6,3,"['2', '2', '1', '2', '1']","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]","[[22, 'src']]",0,19.65372334355771,0,0,1,20.65372334355771
1,0,False,False,0,12,"['2', '2', '2', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2']]",0,45.01012788035905,1,0,4,50.01012788035905
1,1,False,False,4,6,"['2', '2', '1', '1', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, ('dst', 'vnf1')]]","[[62, 'src'], [51, None], [50, None]]",0,26.28206335576123,0,0,2,28.28206335576123
1,2,False,False,6,3,"['2', '2', '1', '2', '1']","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]","[[22, 'src'], [23, 'vnf2']]",0,19.65372334355771,1,0,1,21.65372334355771
1,3,False,False,10,13,"['1', '2', '1', '2', '2']","[[1, 'src'], [0, None], [11, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [45, 'dst']]","[[1, 'src'], [0, None]]",0,19.65372334355771,0,0,1,20.65372334355771
1,4,False,False,1,14,"['1', '2', '2', '2', '2']","[[29, 'src'], [30, None], [31, None], [32, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[29, 'src'], [30, None], [31, None], [32, None], [22, None]]",0,45.01012788035905,0,0,4,49.01012788035905
1,5,False,False,9,13,"['2', '2', '1', '2', '1']","[[55, 'src'], [44, None], [33, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, None], [45, 'dst']]","[[55, 'src'], [44, None]]",0,23.853168447619865,0,0,1,24.853168447619865
2,0,False,False,0,12,"['2', '2', '2', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2']]",0,45.01012788035905,2,0,4,51.01012788035905
2,1,False,False,4,6,"['2', '2', '1', '1', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, ('dst', 'vnf1')]]","[[62, 'src'], [51, None], [50, None]]",0,46.71183427878073,0,0,3,49.71183427878073
