gsfc_id,is_succeed,is_dropped,src_vsg,dst_vsg,vnf_sequence,satellite_path,processed_satellite_path,hop_count,propagation_delay_ms,processing_delay_ms,queueing_delay_ms,transmission_delay_ms,e2e_delay_ms
0,True,False,0,12,"['2', '2', '2', '2', '1']","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, 'dst']]","[[7, 'src'], [8, None], [9, None], [10, None], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [0, 'vnf2'], [11, None], [22, None], [33, 'vnf1'], [34, 'dst']]",0,136.22335656677632,5,2,8,151.22335656677632
1,True,False,4,6,"['2', '2', '1', '1', '1']","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, ('dst', 'vnf1')]]","[[62, 'src'], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, 'vnf1'], [27, 'vnf1'], [27, ('dst', 'vnf1')]]",0,89.82237869653375,5,0,5,99.82237869653375
2,True,False,6,3,"['2', '2', '1', '2', '1']","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]","[[22, 'src'], [23, 'vnf2'], [23, 'vnf2'], [22, None], [33, 'vnf1'], [43, 'vnf2'], [54, ('dst', 'vnf1')]]",0,98.57070330602207,4,3,5,110.57070330602207
3,True,False,10,13,"['1', '2', '1', '2', '2']","[[1, 'src'], [0, None], [11, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [45, 'dst']]","[[1, 'src'], [0, None], [11, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [45, 'dst']]",0,165.93076354481948,5,5,8,183.93076354481948
4,True,False,1,14,"['1', '2', '2', '2', '2']","[[29, 'src'], [30, None], [31, None], [32, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[29, 'src'], [30, None], [31, None], [32, None], [22, None], [33, 'vnf1'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [34, 'vnf2'], [45, None], [56, 'dst']]",0,120.0297493269948,5,2,8,135.02974932699482
5,True,False,9,13,"['2', '2', '1', '2', '1']","[[55, 'src'], [44, None], [33, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, None], [45, 'dst']]","[[55, 'src'], [44, None], [33, None], [34, 'vnf2'], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [34, None], [45, 'dst']]",0,161.73131844075735,5,3,8,177.73131844075735
6,True,False,14,6,"['1', '2', '1', '2', '1']","[[57, ('src', 'vnf1')], [46, None], [35, None], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [22, 'dst']]","[[57, ('src', 'vnf1')], [46, None], [35, None], [34, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [33, 'vnf1'], [22, 'dst']]",0,103.19633935374728,5,3,7,118.19633935374728
7,True,False,8,9,"['2', '2', '2', '2', '2']","[[49, ('src', 'vnf2')], [60, None], [5, None], [4, None], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [2, None], [1, None], [0, None], [55, 'dst']]","[[49, ('src', 'vnf2')], [60, None], [5, None], [4, None], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [3, 'vnf2'], [2, None], [1, None], [0, None], [55, 'dst']]",0,129.3270905861057,5,0,8,142.3270905861057
8,True,False,3,14,"['1', '2', '2', '1', '2']","[[54, ('src', 'vnf1')], [43, 'vnf2'], [43, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]","[[54, ('src', 'vnf1')], [43, 'vnf2'], [43, 'vnf2'], [33, 'vnf1'], [34, 'vnf2'], [45, None], [56, 'dst']]",0,86.57654117030269,5,2,5,98.57654117030269
9,True,False,1,7,"['1', '2', '2', '1', '2']","[[29, 'src'], [30, None], [31, None], [32, None], [43, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [33, 'dst']]","[[29, 'src'], [30, None], [31, None], [32, None], [43, None], [54, 'vnf1'], [43, 'vnf2'], [43, 'vnf2'], [54, 'vnf1'], [43, 'vnf2'], [33, 'dst']]",0,123.79195201900447,5,0,9,137.79195201900447
10,True,False,0,2,"['2', '1', '2', '2', '1']","[[7, 'src'], [62, None], [51, None], [50, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [38, None], [39, None], [40, 'dst']]","[[7, 'src'], [62, None], [51, None], [50, None], [49, 'vnf2'], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [38, None], [39, None], [40, 'dst']]",0,201.200029601944,5,1,11,218.200029601944
11,True,False,0,13,"['1', '2', '2', '1', '2']","[[7, ('src', 'vnf1')], [62, None], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]","[[7, ('src', 'vnf1')], [62, None], [51, None], [50, None], [49, 'vnf2'], [49, 'vnf2'], [60, 'vnf1'], [49, None], [48, ('dst', 'vnf2')]]",0,116.10444205229498,4,2,7,129.10444205229498
12,True,False,4,1,"['1', '1', '1', '2', '2']","[[62, 'src'], [61, None], [60, 'vnf1'], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, None], [28, None], [29, 'dst']]","[[62, 'src'], [61, None], [60, 'vnf1'], [60, 'vnf1'], [60, 'vnf1'], [49, 'vnf2'], [49, 'vnf2'], [38, None], [27, None], [28, None], [29, 'dst']]",0,140.2318581534161,5,1,7,153.2318581534161
13,True,False,7,4,"['1', '1', '2', '1', '2']","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]","[[33, 'src'], [43, None], [54, 'vnf1'], [54, 'vnf1'], [43, 'vnf2'], [54, 'vnf1'], [43, None], [32, 'vnf2'], [21, None], [10, None], [9, None], [8, None], [7, None], [62, 'dst']]",0,164.2334951898501,5,2,12,183.2334951898501
14,True,False,4,7,"['1', '1', '2', '2', '1']","[[62, 'src'], [61, None], [60, 'vnf1'], [60, 'vnf1'], [49, None], [38, None], [39, None], [40, None], [41, None], [42, None], [43, 'vnf2'], [43, 'vnf2'], [33, ('dst', 'vnf1')]]","[[62, 'src'], [61, None], [60, 'vnf1'], [60, 'vnf1'], [49, None], [38, None], [39, None], [40, None], [41, None], [42, None], [43, 'vnf2'], [43, 'vnf2'], [33, ('dst', 'vnf1')]]",0,163.68671382489865,4,2,10,179.68671382489865
